,,,,,,,,,,,,,,,,,,,,,
,Top Accounts_Antigravity,,,,,,,,,,,,,,,,,,,,
,As of 2026-03-03 13:25:24 Pacific Standard Time/PST • Generated by Akshay Mehndiratta,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,,,,,,,,,,
,Show: All accounts,,,,,,,,,,,,,,,,,,,,
,Level equals Level 1,,,,,,,,,,,,,,,,,,,,
,"Bucket equals Top, Strategics, Enterprises",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Account ID,,L1 Account ID,L1 account Name ( Top Level ),Account Name,Market,Pillar,Level,Customer Type,Account Type,Bucket,State/Province,Annual Revenue,Account Owner,Customer Account Reachable for Marketing,# of Providers,Physicians Count,Territory,SDR Rep Assigned,Domain,
,0015j00000DA0tYAAT,,0015j00000DA0tYAAT,Varian(Varian Medical Systems),Varian(Varian Medical Systems),Life Sciences,Value,Level 1,,Target,Top,CA,,Gina Black,,,,LS_All,Kumar Shanu Goswami,varian.com,
,0015j00000DA0teAAD,,0015j00000DA0teAAD,United Therapeutics Corporation,United Therapeutics Corporation,Life Sciences,Value,Level 1,,Prospect,Top,MD,,Gina Black,,,,LS_All,Kumar Shanu Goswami,unither.com,
,0015j00000DA0tnAAD,,0015j00000DA0tnAAD,Thermo Fisher Scientific,Thermo Fisher Scientific,Life Sciences,Value,Level 1,,Suspect,Top,MA,,Gina Black,,,,LS_All,Kumar Shanu Goswami,thermofisher.com,
,0015j00000DA0u4AAD,,0015j00000DA0u4AAD,Hologic,Hologic,Life Sciences,Value,Level 1,,Target,Top,MA,,Gina Black,,,,LS_All,Kumar Shanu Goswami,hologic.com,
,0015j00000DA0uAAAT,,0015j00000DA0uAAAT,Hikma Pharmaceuticals,Hikma Pharmaceuticals,Life Sciences,Value,Level 1,,Target,Top,NJ,,Gina Black,,,,LS_All,Kumar Shanu Goswami,hikma.com,
,0015j00000DA0uDAAT,,0015j00000DA0uDAAT,South Country Health Alliance,South Country Health Alliance,Payer,Value; PQS,Level 1,,Target,Top,MN,,David Kaskoun,,,,Payer_White,Sonali Dabas,mnscha.org,
,0015j00000DA0uJAAT,,0015j00000DA0uJAAT,Provider Partners Health Plan,Provider Partners Health Plan,Payer,Value; Experience,Level 1,,Suspect,Top,MD,,Alexander J. Keltner,,,,Payer_Blue,Abhishek Gautam,pphealthplan.com,
,0015j00000DA0uMAAT,,0015j00000DA0uMAAT,Physicians Health Plan Of Northern Indiana,Physicians Health Plan Of Northern Indiana,Payer,Value; Experience; PQS,Level 1,,Target,Top,IN,,David Kaskoun,,,,Payer_White,Sonali Dabas,phpni.com,
,0015j00000DA0uPAAT,,0015j00000DA0uPAAT,Novartis,Novartis,Life Sciences,Value,Level 1,Humbi,Customer,Top,NJ,,Shyam Dattani,Yes,,,LS_All,Aditya Nandwana,novartis.com,
,0015j00000DA0ubAAD,,0015j00000DA0ubAAD,Neighborhood Health Plan Of Rhode Island,Neighborhood Health Plan Of Rhode Island,Payer,Value; Experience; PQS,Level 1,,Suspect,Top,RI,426000000.0,Alexander J. Keltner,,,,Payer_Blue,Abhishek Gautam,nhpri.org,
